Faster Pussy cat,Silent Night
Yukihiro Fukutomi,Continuous Function
Use Artist # 1431,Bad Luck
Master P,Fuck A Bitch Cuz' I'm Paid
Timbuk 3,Pass It On
The Concretes,Chico
Devlin & David,Planet Us
Zen Guerrilla,Roachman
Bill Evans,Time Remembered
Marisa Monte,Cinco Minutos
ERSKINE HAWKINS,Tonight You Belong To Me
Björn Rosenström,Farväl leguan
Armchair Martian,Downed (2002_ Unreleased)
Bob Dylan,It's Alright_ Ma (I'm Only Bleeding)
Spencer Brewer,Suite Rhapsody
Vyolet,Burning
Marina Lima,Não Sei Dançar
Lalo Schifrin,Time For Love
Sami Yusuf,Make A Prayer
3rd Force,Once In A Lifetime
Orchestra Di Piazza Vittorio,Ya Baba Maragia
Cripta,A los que quieren escuchar
Hand To Hand,The Arson
Me First And The Gimme Gimmes,Uptown Girl
Eko Fresh feat. Bushido,Skit
The Coal Porters,Sin City
Sunset Project,Nobody's Diary
Peret,Tocale Las Palmas
Cérebro Eletrônico,Engolir a lembrança
Jeff Foxworthy,Redneck Dictionary (Album Version)
Raz Ohara,Whitmey Na (Original)
Herman Finkers,Introduktie Kangoeroe
Marvin Hamlisch,The Informant! (Solo Piano)
Ed Rush & Optical,Titanium
The Juliana Theory,As it Stands
Archer Prewitt,Tell Me Now
Christian Death,Cavity - First Communion
Joe Harnell,Green Grow The Lilacs
Banda Lagunera,Sea por Dios
Under Construction,Umleitung
Vashti Bunyan,Turning Backs
Comfort Fit,Your Next Incarnation (feat. Caits Meissner)
Attack Flamingo,Burning
Red Café,A Tree Grows in Brooklyn
Ill Nino,Frustrated [Demo]
Dinah Shore,Under Paris Skies
Oscar D'León,Mira Pa' Ahi
Yolanda Adams,Open Arms
Liz Phair,Girls' Room
Archon Satani,II
Bill Conti,Can't Stop The Fire (2006 Digital Remaster)
Nino Nardini,Madre Selva
Astrud Gilberto with Stanley Turrentine,Solo El Fin (For All We Know)
Meav Ni Mhaolchatha,Since you and I were True
The Presidents of the United States of America,Tiki God
The Ovationz,Shy Girl
Marco Antonio Muñiz,Mi Amor Por Ti
Flor Silvestre,Mar Y Cielo
Dana Gillespie,Too Many Drivers
April Wine,21st Century Schizoid Man (2002 Digital Remaster)
Like Woah!,Girls Sing
Elan,Zaklinanie Depky
Melanie C,Next Best Superstar
Darcelys,Un petit cabanon
Lao Tizer,Enchantment
Why?,Dumb Hummer
The Mooney Suzuki,Down But Not Out
Ty Herndon,She Wants To Be Wanted Again
Blackness,Beneath the surface
Razah,Smoke Me Sensi
Spiritualized,Smiles
Oxmo Puccino And The Jazzbastards,Tito
FOP (Forms Of Plasticity),Doombap
Prince Jammy And Scientist,Cool Vibration
Sissy,So Long
Brian Knight,Hard Travelin'
Blingtones,Jesus Loves Me (ringtone_ Sonnerie)
The Mungolian Jet Set,Inexpired Pyro-What took you so long
Victor Garcia,Alma De Niña
Decadence,Claustrophobia
Eurogliders,Crystal chandelier
Jack Off Jill,Chocolate Chicken
Puressence,Brainwaves (album version)
Noah23,Raw Nukes (Feat. Livestock)
Apsci,It's Apsci (intro)
Sandra Dahlberg,Jag är här
Asheru And Blue Black Of The Unspoken Heard,Better (Instrumental)
Mariano Yanani,Cancion De Cuna K.V. 350 (Mozart)
Bucktown Kickback,What You've Got I Need
Jon Hassell,Light On Water
React,Apropos
The Sleeping Years,Clocks and clones (EP version)
Lou Pride,Tonight
Reuben Wilson,Ronnie's Bonnie
Damage,Damtro
Terry Winchell,Life Is For Living
Freshlyground / Freshlyground,Human Angels
Paul Van Dyk,Ibiza
Loose Ends,Who Are You?
Ceremonial Snips,Sans Inspiration
Stuff Smith Quartet Feat. Svend Asmussen,The Girl From Ipanema
Cobra,Who Get De Money
Detonautas,Nem Me Lembro Mais
Barbara McNair,I Second That Emotion
Café Tacvba,Metamorfosis
Digable Planets,Rebirth of Slick (Cool Like Dat) (2005 Digital Remaster) (Explicit)
Red,Seen (Playsatan Mix)
Sheep on Drugs,Night Fever
Shrimp Boat,Houston Tower
Ancient Astronauts,Seventh Planet Skit
Twinkle Brothers,Jahoviah (2002 Digital Remaster)
Joachim Witt,Einmal Werd' Ich Ganz Berühmt
Tears For Fears,Sowing The Seeds Of Love (live Parc Des Princes)
Omnium Gatherum,Gravesilence
The Rocky Athas Group,Ain't No Doubt
Nathan Moore,I Hate Love
Van Zant,Nobody Gonna Tell Me What To Do
Quinn Lemley,Gypsy In My Soul
Virtuocity,Paradise
Rookie,Music (feat. Jelé)
Jazper featuring Picazzo,Havin a Good Time
Shantel,O Manolis
Pseudo Echo,A Beat For You (Extended Version)
Trilok Gurtu,Maya
Weeping Willows,When You Are Asleep
New Birth,Hurry Hurry
Carlos Kotkin,Eggs
Eric Clapton,Inside Of Me (Album Version)
Megashira,Respect
Flee the Seen,Wardrobe Full of Fiction
Tiller's Folly,Little Beggarman (Live)
Pariisin Kevät,Salaliittoteoria
Joe Walsh,I Can Play That Rock & Roll
Eric Dolphy,Fire Waltz
Manual,Blood Sun
The Intruders,(We'll Be) United
Tori Amos,Bouncing off Clouds
5UU'S,To Fall On Deaf Ears
Martyn Bates,First And Last February
Shlomi Aber,Groove Mechanism
Claw Boys Claw,Lava
Seven Mary Three,Rock Crown (LP Version)
A Girl A Gun A Ghost,...Of The Alaskan King
Eternal,Stay (West End Clapapella Mix)
Fond Of Tigers,Here_ You Are Hated
Raimundo Amador,Los Managers
Judy Garland_ Lucille Bremer And Ensemble,Skip To My Lou (LP Version)
Black Tambourine,Throw Aggi Off The Bridge
Mikey General,Praise the Lord
Morrissey,All You Need Is Me
Rush,Working Man (Rio Live Album Version)
Mongo Santamaria,Me And You Baby (Picao Y Tostao)
Lord Kitchener,Dr. Kitch
Stereophonic Space Sound Unlimited,The Last of the Late Brakers
CDM Project,Sandstorm
Osunlade,My Reflection (Original)
Leigh Nash,My Idea Of Heaven (Panoptica Remix)
As The Sun Sets,Feed The Scenesters To The Lions
My Spacecoaster,Round
The Crystal Method,Busy Child
Nova Express,Give it to You
Face To Face,14 Hours
Idlewild,Out Of Routine
Fivespeed,Blame It On You
Piano Red,Everybody's Boogie
Morbid Angel,Inquisition (Burn With Me)
Sunglasses After Dark,Rubber Mask
Los Rieleros Del Norte,El Sancho
Lifesavas,No Surprise + Scene 1 - Fly Paper
Kaze,Broken Bars
Lawnmower Deth,Egg Sandwich
Brandy duet with Monica,The Boy Is Mine (Duet With Monica) (LP Version)
Lucky Millinder,Little John Special
1000names,Meee-Loooo-Deee
Stevie Wonder,Did I Hear You Say You Love Me
Sugar Minott,You're Too Bad
Anton Barbeau,Drunk Again
Wayne Watson,Sweet Little Jesus Boy (LP Version)
Ladanybene 27,Szedegetem
Tejedor,Etna
Kruger,Myasorubka
Grant Lee Buffalo,Drag
Ryan Adams,Wonderwall
El Piporro,Los Ojos De Pancha
Miley Cyrus,Don't Walk Away
Tamia,Officially Missing You (Midi Mafia Mix aka Radio Main)
Jackson 5,The Love You Save
Karl Denson,Bougainvillea featuring Andy Bey
Zapp,Jake E Stanstill (LP Version)
Eddie Jefferson,Sherry
Singapore Sling,Godman
Toots & The Maytals,She's My Scorcher
These Arms Are Snakes,Angela's Secret
Starving,Coma Sutra
Josh Wink,Dolphin Smack
Impious,The Hitman
Michael Stanley,Poison Pen
Show Of Hands,Cars
Mike Jones,Straight From The Dome
Southeast Engine,Pursuit of Happiness -Part 1
Aqua,Cartoon Heroes
Los Alegres De Teran,Una Vida Con Dinero
Equalizers,The Illness
PSK-13,Pimpin Mac A Docious (feat. Klondike Kat)
Messer Chups,Boys In Skeleton Costumes
The Coctails,Wet Suit
Blow Up,I'm Gonna Give You What You Want
Franz Waxman,Norma Desmond
Hidden Agenda,The Flute Tune
Loose Ends,Look How Long
Qwote,One More Time
Blur,M.O.R. (Alan Moulder Road Version)
Pepe Pinto,El Limonar Y La Caleta
Britny Fox,Lonely Too Long [Album Version]
Bouncing Souls,Fight To Live
Charly Black,Dem Can Only Talk
Royals,Badge
Brownie McGhee,Poor Man's Blues
Simple Plan,No Love (Album Version)
Geoff Moore And the Distance,Come Near To Me (Homerun Album Version)
Irwin Goodman,Kööpenhaminassa vain
Arthur Verocai,Sucuri
Chris Connelly,I Keep A Close Watch 06/17/2001
Madrugada,Get Back In Line
Samian,Injustice
Anton Dermota/Dietrich Fischer-Dieskau/Elisabeth Grümmer/Marga Höffgen/Otto Edelmann/Wiener Singakademie Chor/Wiener Sängerknaben/Wiener Philharmoniker/Wilhelm Furtwängler,St Matthew Passion BWV244 (1995 Digital Remaster)_ PART 1: No. 7_ Chor: Wozu dienet dieser Unrat?
Cheb Hasni,Baida Mon Amour
Codec & Flexor,Time Has Changed (Northern Lite Remix)
Wynona Carr,What Do You Know (About Love)
Sonny Stitt,Easy To Love
Slapp Happy,Michaelangelo
Syd Dale,Man Friday
Lalo Schifrin,I'm Looking Over A Four Leaf Clover
Teresa Brewer,Music_ Music_ Music
Astrud Gilberto / Walter Wanderley Trio,Portuguese Washerwoman
Cher,Milord (1995 Digital Remaster)
Lili Boniche,Il N'y A Qu'un Seul Dieu (Live Olympia)
Andy Caldwell,Scream (Andy Caldwell and the EC Twins Remix)
The Last Resort,Waiting For A Friend
Office,Poor Rich
Ministry,End Of Days Part 2 (Extreme Mayan Makeover Mix)
Missy Elliott,The Rain  [Supa Dupa Fly]  (LP Version)
Ashley Tisdale,Love Me For Me (Album Version)
Dabrye feat. Jay Dee & Phat Kat,Game Over feat. Jay Dee & Phat Kat (Flying Lotus Remix) (Instrumental)
Neal Hefti,It's A Happy Holiday
Dawn Tallman,Heavenly Light
Bad Joke,ABP
Michael Alperin,First Impression
Doug Stone,More Love
Rihanna,Unfaithful
Juan Carmona,Borboreo
The Bloody Beetroots,Anacletus
Bangbros,Happy Hour
multiplex,Mainline
Marion Meadows,Spend My Life
Teenage Head,Little Boxes
Dennis DeYoung,Once Upon A Dream (LP Version)
Out Of The Grey,Pretending
Florence + The Machine,Ghosts (Demo)
Alan Silvestri,Truly Dead
Dave Fletcher,I'll Be Alright
The Mary Timony Band,Pink Clouds
The Main Ingredient featuring Cuba Gooding,Save Me
Chris Connelly,Empty Coda
Bosson,We Live
Martin Carthy,Virginny
A.R.E. Weapons,Hardcase
Crisk.,Gotcha
Fast Distance,Last Night Without You
Blood Red Throne,Souls of Damnation
Bob Wills,Tie Me To Your Apron Strings Again
Andy Williams,Waltz Round The Christmas Tree
Chicos de Barrio,El berembemben
The Biscuit Brothers_ The Wild Basin Winds,Señor Don Gato
Frank Gambale,Uluru
ÄI-TIEM,Beamtengeständnis 1
Kym Marsh,I Think It's Gonna Rain Today
Der Plan,Space Bob
Frank Strozier,Nice N Easy (short version)
Aaron Carter,Keep Believing
Dead Meadow,Keep On Walking
Shelby Flint,House Carpenter (Album Version)
Paolo Mojo,Dirty Stack
The Shakin' Apostles,Medicine Show Rag
Disturbed,Fear (Album Version)
Hellogoodbye,Dear Jamie...Sincerely Me
Matthew Herbert,Blood And Hair (rejected music from Manolete)
Blood Red,Heartworm
Sam & Dave,If I Didn't Have A Girl Like You (LP Version)
Anoraak,Never Ending Romance Disaster
Vicious featuring Wochee,What U Know About It
Don Ho,Waimanalo Blues (Nanakuli Blues)
Jonas Hellborg,The Past Is A Different Country_ I Don't Live There Anymore
Liam Lynch,You're an Arrow
Moguai,I.D.Y. (I Dance You)
Alain Souchon,Les Saisons (Live)
Zetan Spore,Chimera
Blackwater,Hornpipe
Love,Abalony
Anita Ward,Make Believe Lovers
O'Funk'illo,En El Campito
Commander Tom,I can't Sleep!
Primitive Radio Gods,Apso Foogin' Lootly
Baby Mammoth,Tea Fumes
Comeback Kid,Lorelei
The Beat,Spanish Moonlight
True Lies,Lully Pop
Graham Coxon,I Wish (Live)
Lamb Of God,Dead Seeds (Album Version)
Atjazz,Harmony
Klaatu,For You Girl (1974 7" B-side)
Rufus Thomas,Let The Good Times Roll
Bullet Lavolta,Trapdoor
Laurel Aitken,You Left Me Standing
GEORGE SOULE,TALKIN' 'BOUT LOVE
Feist,Sealion
Peter Himmelman,Tantrum
Todd Wolfe,ON THE RUN
Frog Pocket,Wild Overtone Wind
Little Tragedies,Relayer
James Taylor,Knock On Wood
Graziano Galatone;Rosalia Misseri;Attilio Fontana,Giuro
Lye By Mistake,Ostrich Feathers and Apple Pie
Booker T & The MG's,Heads Or Tails
Wencke Myhre,Billy Joe McAllister
Rebecka Törnqvist,A Dream
Crionics,Lunatic Gate
Shamanic Tribes On Acid,Psychey
Seth Gueko,Faut pas t'en faire
Pupo,La notte
Brand New Disaster,The Getaway
William Basinski,92982.1
Sakis Rouvas,This Is Our Night
Bebo Norman,I Am
Saint Dog,Intro
David Sanborn,For All We Know (LP Version)
David Lee Garza Y Los Musicales,Contigo Amor
Earth_ Wind & Fire,I'll Write A Song For You
Don Fardon,Jambalayao (Live Recording)
Timbuk 3,Count To Ten
Andrew Gold,Chinese Backward Music
Blech & Brass Banda,Malaguena
Louis Prima/Keely Smith,(Nothing's Too Good) For My Baby (1999 Digital Remaster)
Soulive,First Street (Live)
The Trews,Will You Wash Away
Bill Evans Quintet,Interplay
Sebastien Tellier,Kilometer
Chumbawamba,Refugee
Dr Feelgood,Milk And Alcohol (New Recipe)
Silkk The Shocker,I Want To Be With You (feat. O'Dell)
Sam Mosley And Bob Johnson,You Hit The Nail On The Head
Benjy Davis Project,Same Damn Book (Album)
Hit The Lights,Hey Jealousy
Moqui Marbles feat. Pyranja,Zwiegespräche
Sylvan,Bequest Of Tears (Album Version)
Fiction 8,Too Late
Any Trouble,What Do I Have To Do?
Copperhead,Drift Away
Bob Dylan,Black Crow Blues
Eleven,You And I
Dark Dark Dark,Colors (Tom Inhaler Remix)
Nestor Torres,A Widow's Meditation (Lamentoso)
Mädness,Cool (Coolege Schnürschuh Remix)
Anane,Let's Get High (Louie Vega Radio Edit)
Esquivel,Misirlou
Disco Drive,A Factory of Minds
House Of Heroes,Silent Night
Rosa Balistreri,I pirati a Palermu
Scienz of Life,Dear Zev (Never Give Up)
The Wiggles,Go Santa Go
Fady Ferraye,Beirut
Hank Snow,Bluer Than Blue
Norman And Nancy Blakie,Happy Little Home In Arkansas
Giovanni Battista Pergolesi,Missa Romana in Fa Maggiore : I. Kyrie
Jacek Kochan,Alberta
Tying Tiffany,Not a shame
The Bodysnatchers,Let's Do Rock Steady
Kajagoogoo,Big Apple
Pulse Legion,The Fear
Chicken Shack,Pocket
Max Melvin,Come Along
Jonas Brothers,Burnin' Up
Don Carlos & Gold,It Was Love
Kyuss,Thee Ol' Boozeroony (LP Version)
Muddy Waters;Johnny Winter;James Cotton,Got My Mojo Workin'
Obscure Disorder,The Grill
T. Graham Brown,Put Your Hand in the Hand
Greatdayforup,To The Limit
Akira Kiteshi,Pinball
Peter Buffett,One More Time
Clifton Chenier,Ay_ Ai Ai
Azul Violeta,Mas De Ti
John Ottman,Changing
Cat Power,Nude As The News
Raul Mezcolanza,You Can Get By
Sneaker Pimps,6 Underground
Anna Eriksson,Miksi sanoit sen
Outlandish,Words Stuck To Heart
Intro,New Life (LP Version)
Theodor Bastard,Aliah (Leshalle_ Brussels_ Belgium_ 2003)
Chuck Berry,Thirty Days - To Come Back Home (Digitally Remastered)
Natasha Bedingfield,Love Like This
La Sega Del Canto,Aurinkolaiva
Taylor Swift,Love Story
Russell Malone,Wind In The Willow
Soulsearcher,Can't Get Enough [Jazz n Groove Dub]
Ame Strong,Tout Est Bleu
RODNEY CROWELL,The Rose Of Memphis
Katri Ylander,Joutsenlaulu
Boogie Times Tribe,Dark Stranger 
Robbie Seay Band,Song Of Hope (Heaven Come Down)
Marty Haugen,Lamb of God/Bread of Life from Heaven
Circle Jerks,Murder the Disturbed
The Almost,Young Again
John Martyn,You Know
Alex Machacek,Yellow Pages
310,Your Mother's No Good Here
Obszön Geschöpf,Son of Evil
Crashdiet,Beautiful Pain
One t,In da T club
Lefty Frizzell,She's Gone_ Gone_ Gone
Dada Life,Let's Get Bleeped Tonight
Black Crowes_ The,Cosmic Friend
The Flying Burrito Brothers,Your Angel Steps Out Of Heaven
Speech,Nasty Vibe
Accept,Up To The Limit
The Crystal Method,Bones Theme
Harry Gregson-Williams,Bullet Tells The Truth
André Herman Düne,How I Feel about You
Connie Stevens,I Know Why (Album Version)
Mojado,Free Your Mind
Poem Rocket,Put Your Hand In The Hand
Asamov,Boombox
Clifton Chenier,Baby Please Don't Go
Magic Slim,Spider In My Stew
Kosmo Koslowski,Der Kleine Junge Mit der Grossen Axt
Jackie Davis,Five Minutes More (Album Version)
Nekromantix,Dead Moon Walking
Second Skin,Sweet Nothing
Lucero,Amigas
Bobo Stenson_ Anders Jormin_ Jon Christensen,Die Nachtigall
Postgirobygget,Skorpion
Tye Tribbett & G.A.,I Need You
Hocus Pocus / Omar,Smile
Studebaker John & The Hawks,The Road
Lightnin' Hopkins,Appetite Blues
New Edition,Wildest Dreams (Album Version)
Mira Calix,Paarl
Going Home,My Amazing
Joy Division,Isolation - [High Wycombe Town Hall Live 13 July 1979]
Solomon,25 Variations And Fugue On A Theme By G.F. Handel For Piano_ Op. 24: Variation XXI
The Slovak National Symphony Orchestra,Infection
Cassandra Wilson,Waters Of March
Ana Nikolic,Solo Ti_ Solo Ja
Peter White,Just Another Day
Can,Blue Bag (Inside Paper) (Toroid Mix)
Chris Rea,Fool (If You Think It's Over) (LP Version)
The Lewis Family,Above And Beyond
Rational Youth,The Ghosts of Montreal
Procol Harum,Simple Sister (Rehearsal)
Dumptruck,Winter (Album Version)
John O'Callaghan,Assembler
Sami Yusuf,Mother (Arabic)
Lal and Norma Warterson,The Bonny Light Horseman
La Tropa F,Yo Y Mi Amiga La Botella
Brian Vander Ark,I Don't Want To Be A Bother
Elvis Costello & The Imposters,Country Darkness
Emmanuel Jal,No Bling
Alejandro Fernandez,Popurri Juan Gabriel
The Bottle Rockets,Take Me To The Bank (LP Version)
Francesco Guccini,Fantoni Cesira (Live) (1996 Digital Remaster)
Absu,The Cognate House Of Courtly Witches Lies West Of County Meath
Brian Coll,Sing Me Back Home
Skip James,22 - 20 Blues
Midival Punditz,Katalu Talu
Molella,Revolution
Freddie & The Dreamers,The Siamese Cat Song (2002 Digital Remaster)
Musetta,Red Star
Mack 10,I'm Dope (Edited)
Of Montreal,Coquelicot's Tea Party
Bob Wills,Maidens Prayer
Roy Rogers,Don't Fence Me In
New Grenada,El Paso
Simian Mobile Disco,3 Pin Din
Trist,Herzenswunsch
Paul Revere & The Raiders featuring Mark Lindsay,Let Me
CONSOLE,Pigeon Party
Kanye West,Stronger
Steadman,Wave Goodbye (Real/Rhapsody Version)
Carina Round,Sit Tight
Remute,Ed Wood
Alexandre Desplat,Streets Of Shanghai
Tweet/Bilal,Best Friend (LP Version)
Saturday Looks Good To Me,Ultimate Stars (LP Version)
The Twins Artcore,Pak - The Crazyman
Smokie,I Swear
Brad Paisley Duet With Keith Urban,Start A Band
Sleepy LaBeef,Rockin' Daddy
Syndrome,Three Faces of death ft Q-unique and S-kalibre
Karrin Allyson,A Felicidade (Happiness)
Waking Eyes,Get Up Easy
Through the Eyes of the Dead,Force Fed Trauma
Nathalie Tineo,Ohne dich
Kiprich,Hairstyle
Kirk Franklin & The Family,O Come All Ye Faithful
Mindy Smith,What Are You Doing New Year's Eve?
Blood Island Raiders,God's Breath Is Steel (Live)
Shizuo,Fuck Step 1
Stephen Bishop,What Love Can Do
Billie Holiday,I only have eyes for you
The Gladiators,Head To My Toe
Kids Like Us,Culture Shock
Some Girls,I Need Drugs
Smiley Lewis,Lillie Mae
Dntel,Incomplete 1
The Red Clay Ramblers with Fiddlin' Al McCanless,Call to a Foreign Field
Threats,Intro
Kojak,Doin Nothing
Arja Saijonmaa,La Paloma
Secret Oyster,Straight to the Krankenhaus
Soutien Gorge,:|
The Monochrome Set,Ici Les Enfants
Spiritual Beggars,Young Man_ Old Soul (live)
Filteria,Float Away & Disappear
GODGORY,Another day
Saosin,Let Go Control
Mean Creek,Face of the Earth
Goldfrapp,Slide In
Mark Masri feat. Jim Brickman And Amy Sky,Greatest Gift Of All (Your Love) (Karaoke Version)
Obie Bermudez,Ella Tiene Algo (El Secreto De Victoria)
Lino Borges,En Una Ensonación
Psychopomps,Somnambulism
Bram Vermeulen,De Muur
The Orioles,I Cross My Fingers
Kim English,Nothing's Impossible (ATFC Radio Edit)
Parakeets,Yvonne
Machel Montano & Xtatik,Size
Natalie Merchant,Seven Years (LP Version)
The Soviettes,Multiply and Divide
Dreams Come True,Dandelion Hill
Beastie Boys,The Maestro
Yukmouth,211 (feat. LEP Bogues Boys)
Jay Chou,Ben Cao Gang Mu
Juice Leskinen,Mimosan hipiä
Fabiana Cantilo,Hija Del Rigor
The Zombies,Don't Cry for Me
Katie Webster,I Know That's Right
David Saylor,Sin Condicienes
Yello vs. Hardfloor,Vicious Games 2010
Mikael Ramel,Enastående Framtid
The Stills,Baby Blues (Album Version)
DJ Spinn,Crazy N
Little Jimmy Taylor,You've Got The Love I Need
The High Strung,You Got History
Coleman Hawkins,When Did You Leave Heaven?
Matinalsystem,Swing In The Moon
Stray Dog,Worldwinds
Mike Younger,Baby_ What Can I Say?
Marc Shaiman,Park Avenue Stroll
Der Blaue Reiter,La Clameur De L'Ombre
NQ Arbuckle,Darkness Has Fallen
Ron Trent_ Erik Rico,Sensation (Main Vocal)
Buddy Guy,My Love Is Real
Skank,Notícia
Johnny Vicious Featuring Judy Albanese,Can't Let Go (Tribal H2 Vocal)
Crosby_ Stills & Nash,Southern Cross  (LP Version)
Ewa Firsowicz,Der Wind
Georges Brassens,J'Ai Rendez-Vous Avec Vous
Duke Pearson,Little Drummer Boy (Rudy Van Gelder 24-Bit Remastering)
Wolfmother,Woman
Robbie Williams,Last Days Of Disco
Judy Garland,If I only had a heart
Cannibal Cooking Club,Knups
Pam Thum,Age of Faith
Bryan White,Love Me Like You Mean It (LP Version)
Leif Garrett,You Had To Go And Change On Me
30 Seconds To Mars,93 Million Miles
Billy May & His Orchestra,Little Brown Jug
Little Boots,Earthquake (album version)
Steeleye Span,The King
Willie Clayton,Let The Good Times Roll (Soul and R&B)
Bobby Pulido,Se Murio De Amor (Live)
Junction 18,June and the Ocean
S.U.P,The Cube
Dodgy,If You're Thinking Of Me
Restless Heart,The Bluest Eyes In Texas
Fleshies,Half Werewolf_ Half Vampire... You Are In Big Trouble (Reprise)
IAMX,Spit It Out
Dax Riggs,Evil Friend
Joe Stump,Night Of The Living Shred
Ed Calle,Young & Fine
Thirst,Tired Man
Mason Williams,Them Toad Suckers
17 Hippies,Schattenmann
Social Distortion,The Creeps (Album)
Teena Marie,Ear Candy 101
Moby,Disco Lies (Spencer and Hill Remix Radio Edit)
Jessie Hill,In My Mind
Southside Johnny & The Asbury Jukes,I'm So Anxious
Endanger,Erotic
Brenda Lee,Kansas City
Chris Whitley,Kick the Stones
Christine Fellows,The Last One Standing
Philippe Bestion,Reveil Calme 1
Robert Shaw,Mass in B Minor_ BWV 232/Credo/Et resurrexit (Chorus)
Dilated Peoples,Mr Slow Flow featuring PMD (Remix)
Ian Anderson,Rupi's Dance
Magnus Carlsson,Live Forever [Acoustic Version]
DJ Babu,Muhreeuh
Sipho Mabuse,Mama [& Miriam Makeba]
Claudio Baglioni,E Ci Sei Tu
Eri2,Whatever Whatever
Dinastía Norteña_ Oro Norteño,Aunque Mal Paguen Ellas
David Navarro,Olé Olé
Klovner I Kamp,Konger I Kamp
Prince Po,Too Much
Mike Bloomfield,Uncle Bob's Barrel House Blues
James Carter,(I Wonder) Where Our Love Has Gone
Knight Area,The Gate of Eternity
Bracket,Parade
Helen Shapiro,When I'm With You (1997 Digital Remaster)
The Mermen,Scalp Salad (LP Version)
Nickelback,Just To Get High (Album Version)
Love and Rockets,Dreamtime
Shy FX & T-Power feat. Di & Skibadee,Don't Wanna Know (Album version)
love like blood,High Tension
The Turbo A.C.'s,1-800
ALO,Shine
Nina Simone,Trouble In Mind
Ayria,Scattered Debris (Slipshod Mix)
The Mother Goose Singers,Play School
Memphis Bleek,Hell No
Caramell,Mr.Cowboy
The Ataris,Radio #2
Kristian Meurman,Viimeiseen mieheen -Only One Woman-
Ice T,6 in The Morning
Alex Stealthy,Something Is Wrong
The Who,Pure And Easy
Bjørn Eidsvåg,De - e - å - å leva
Healer,Polarity
Rainbow,Since You Been Gone
No Comment,Tell Me What To Feel
The Wedding Present,Nobody's Twisting Your Arm (Live in Valencia)
Supersuckers,Dance On It
Jerry Goldsmith,Snowmobiles
Teki Latex,La ville en juin
Mavado,Say What you Wonna Say
The Christmas Jug Band,I'm Gonna Sit Right Down And Write Myself A Christmas Card (Parody by Dan Hicks based on 'm Gonna Sit Right Down And Write Myself A Letter)
Sussie 4,Solo Voy
Fightstar,28k Resolution
Astral Projection (SFX),Butterfly Trip
Akcent,Last Summer
Stan Kenton Orchestra,I Understand
Wailing Souls,See Baba Joe  (12 Disco 45 Mix)
Culture Shock,Kronix
Hydro,Here
Two Dollar Pistols,Hands Up!
Moon Mullican,Broken Dreams
Playa Fly,Outro
Russell Watson / Royal Philharmonic Orchestra / Nicholas Dodd,Granada
Alex Rize,Beyond The Dome
The Raspberries,Play On
The Northern Pikes,Straight Line
Anna Ternheim,I'll Follow You Tonight
Pangaea,Dead Living
John McDermott,Old Tin Star
The Stoner,Far Och Son
Lord Belial,Trumpets Of Doom
Tiziana Ghiglioni,Angela
Epitaph,On The Road
Clyde McPhatter & The Drifters,Such A Night (Digitally Remastered)
The Partisans,Reality T.V.
Kate Campbell,Funeral Food
Beam Vs. Cyrus,Take This Sound (Out Of My Head)
EDU K feat. Deize Tigrona,Sex-O-Matic (DJ Edgar Baile Funk Mix)
Eskimo,On A Roll
The Caroloregians,Slag Heap Serenade
Mungo Jerry,Let's Get Started
Keziah Jones,One
Ashley Tisdale,He Said She Said
Soweto,Mundo De Oz
The Fabulous Thunderbirds,I Got Eyes
Tubby Hayes & His Orchestra,Tootsie Roll
Yerba Brava,El Vendido
The Ruts,Society
Francis Poulenc,Gnosienne N° 3
A Day In Black and White,What Do You Want Me To Do_ Sign Your Freakin' Yearbook?
Maria Jimenez,Alfonsina y el mar
Miguel Aceves Mejía,Por Un Amor
Los Lobos,Bar Fight
Gareth Emery,More Than Anything (Jerome Ismaae Mix)
Tupelo Honey,Then Came You (Tupelo Honey EP)
Fat Jon,Rain Dance
Andrew W.K.,We're Not Gunna Get Old
Natalie Merchant,The Dancing Bear
Nhocuné Soul,Deus me faça samba
Old 97's,Oppenheimer (LP Version)
Boston Spaceships,Still In Rome
Moe Tucker,Then He Kissed Me
Figure Four,Creed
Cold World Hustlers,The Zone
Dimmu Borgir,Indoctrination
Peter Broderick,And It's Alright
Hunger,Strictly from Hunger: Trying to Make the Best N. 2
Brad Paisley,If Love Was A Plane
Jamiroquai,Main Vein
Mexicanto,Casi Siempre Estoy Pensando
Luther "Guitar Junior" Johnson,Hey Little Girl
Kreator,No Reason To Exist
Soulfly,Soulfly VI (Album Version)
Shakin' Stevens,This Time
Shannon McNally,Pale Moon (Live)
Joe ManeriQuartet,Body And Soul
Chorus Line,Le bon Samaritain
Marty Robbins,Ain't I The Lucky One
Samba de Rainha,Tão perto
Wolfsheim,Listen!
Robert Miles,FULL MOON
Black Light Burns,Drowning Together
Peter Grudzien,Private Battle
Thee Midniters,Gloria
Straight Faced,Revolve
Bahamadia,True Honey Buns (Dat Freak Shit) (Explicit)
Kid Creole And The Coconuts,Money
Stefon Harris,Drum Storm
Throbbing Gristle,After Cease To Exist
The Doors,Been Down So Long (LP Version)
Faunts,High Expectations
Kristian Meurman,The Entertainer
Survivor,I Can't Hold Back
Styrian Bootboys,Bushfire brigade
Ronnie Earl & the Broadcasters,Equinox
Reuben,Missing Fingers
The Ship,The Ship
